target,source,neighbor1,neighbor2,neighbor3,target_lon,target_lat,source_lon,source_lat
4440,4471,4497,,,118.751056271,30.9209090950001,118.733407433,30.9240550690001
4440,4497,4471,,,118.751056271,30.9209090950001,118.764629799,30.926687842
4471,4496,4493,4440.0,,118.733407433,30.9240550690001,118.729294252,30.9269730350001
4471,4440,4496,4493.0,,118.733407433,30.9240550690001,118.751056271,30.9209090950001
4471,4493,4496,4440.0,,118.733407433,30.9240550690001,118.736351565,30.9267130750001
4493,4471,4521,4562.0,,118.736351565,30.9267130750001,118.733407433,30.9240550690001
4493,4562,4521,4471.0,,118.736351565,30.9267130750001,118.744551331,30.9331701630001
4493,4521,4471,4562.0,,118.736351565,30.9267130750001,118.736583455,30.930185931
4496,4518,4471,4539.0,,118.729294252,30.9269730350001,118.725067125,30.9299801010001
4496,4471,4518,4539.0,,118.729294252,30.9269730350001,118.733407433,30.9240550690001
4496,4539,4471,4518.0,,118.729294252,30.9269730350001,118.732547421,30.932228223
4497,4440,4526,4536.0,,118.764629799,30.926687842,118.751056271,30.9209090950001
4497,4526,4536,4440.0,,118.764629799,30.926687842,118.773466815,30.928929752
4497,4536,4526,4440.0,,118.764629799,30.926687842,118.757300215,30.931603098
4518,4556,4496,4565.0,,118.725067125,30.9299801010001,118.720366092,30.9333274580001
4518,4496,4565,4556.0,,118.725067125,30.9299801010001,118.729294252,30.9269730350001
4518,4565,4556,4496.0,,118.725067125,30.9299801010001,118.728212366,30.9343747550001
4521,4493,4539,4605.0,,118.736583455,30.930185931,118.736351565,30.9267130750001
4521,4539,4493,4605.0,,118.736583455,30.930185931,118.732547421,30.932228223
4521,4605,4493,4539.0,,118.736583455,30.930185931,118.736906635,30.936118166
4526,4554,4497,9001.0,,118.773466815,30.928929752,118.768301862,30.9326119150001
4526,4497,9001,4554.0,,118.773466815,30.928929752,118.764629799,30.926687842
4526,9001,4554,4497.0,,118.773466815,30.928929752,118.778407789,30.930601649
4536,4554,4635,4497.0,4562.0,118.757300215,30.931603098,118.768301862,30.9326119150001
4536,4635,4562,4497.0,4554.0,118.757300215,30.931603098,118.755828212,30.9383664700001
4536,4497,4554,4635.0,4562.0,118.757300215,30.931603098,118.764629799,30.926687842
4536,4562,4635,4554.0,4497.0,118.757300215,30.931603098,118.744551331,30.9331701630001
4539,4496,4616,4521.0,4565.0,118.732547421,30.932228223,118.729294252,30.9269730350001
4539,4565,4616,4521.0,4496.0,118.732547421,30.932228223,118.728212366,30.9343747550001
4539,4521,4565,4616.0,4496.0,118.732547421,30.932228223,118.736583455,30.930185931
4539,4616,4496,4521.0,4565.0,118.732547421,30.932228223,118.734355454,30.937019531
4554,4563,4536,4526.0,4634.0,118.768301862,30.9326119150001,118.773508757,30.933634639
4554,4634,4563,4526.0,4536.0,118.768301862,30.9326119150001,118.766881403,30.938042103
4554,4526,4563,4536.0,4634.0,118.768301862,30.9326119150001,118.773466815,30.928929752
4554,4536,4526,4634.0,4563.0,118.768301862,30.9326119150001,118.757300215,30.931603098
4556,4607,4608,4518.0,,118.720366092,30.9333274580001,118.715724096,30.9366187300001
4556,4518,4607,4608.0,,118.720366092,30.9333274580001,118.725067125,30.9299801010001
4556,4608,4518,4607.0,,118.720366092,30.9333274580001,118.723423745,30.93659868
4562,4536,4493,4651.0,4589.0,118.744551331,30.9331701630001,118.757300215,30.931603098
4562,4651,4493,4589.0,4536.0,118.744551331,30.9331701630001,118.751313828,30.939949406
4562,4493,4589,4536.0,4651.0,118.744551331,30.9331701630001,118.736351565,30.9267130750001
4562,4589,4536,4493.0,4651.0,118.744551331,30.9331701630001,118.739577563,30.9351472700001
4563,4615,4554,4642.0,9001.0,118.773508757,30.933634639,118.781728318,30.936102728
4563,4554,4615,4642.0,9001.0,118.773508757,30.933634639,118.768301862,30.9326119150001
4563,4642,4554,9001.0,4615.0,118.773508757,30.933634639,118.772031929,30.938383926
4563,9001,4554,4642.0,4615.0,118.773508757,30.933634639,118.778407789,30.930601649
4565,4518,4608,4539.0,4603.0,118.728212366,30.9343747550001,118.725067125,30.9299801010001
4565,4608,4539,4518.0,4603.0,118.728212366,30.9343747550001,118.723423745,30.93659868
4565,4539,4518,4608.0,4603.0,118.728212366,30.9343747550001,118.732547421,30.932228223
4565,4603,4539,4608.0,4518.0,118.728212366,30.9343747550001,118.729375318,30.936172577
4579,4615,9001,,,118.784692677,30.93368516,118.781728318,30.936102728
4579,9001,4615,,,118.784692677,30.93368516,118.778407789,30.930601649
4589,4562,4660,4605.0,,118.739577563,30.9351472700001,118.744551331,30.9331701630001
4589,4660,4605,4562.0,,118.739577563,30.9351472700001,118.743669333,30.9405009490001
4589,4605,4562,4660.0,,118.739577563,30.9351472700001,118.736906635,30.936118166
4603,4565,4630,4624.0,,118.729375318,30.936172577,118.728212366,30.9343747550001
4603,4624,4630,4565.0,,118.729375318,30.936172577,118.724601414,30.9380445960001
4603,4630,4624,4565.0,,118.729375318,30.936172577,118.730885966,30.9383085260001
4605,4521,4589,4616.0,4671.0,118.736906635,30.936118166,118.736583455,30.930185931
4605,4589,4616,4521.0,4671.0,118.736906635,30.936118166,118.739577563,30.9351472700001
4605,4616,4589,4521.0,4671.0,118.736906635,30.936118166,118.734355454,30.937019531
4605,4671,4521,4589.0,4616.0,118.736906635,30.936118166,118.737292012,30.9418301260001
4607,4645,4556,,,118.715724096,30.9366187300001,118.712270196,30.9398837000001
4607,4556,4645,,,118.715724096,30.9366187300001,118.720366092,30.9333274580001
4608,4556,4624,4565.0,,118.723423745,30.93659868,118.720366092,30.9333274580001
4608,4565,4624,4556.0,,118.723423745,30.93659868,118.728212366,30.9343747550001
4608,4624,4556,4565.0,,118.723423745,30.93659868,118.724601414,30.9380445960001
4615,4663,8364,4579.0,4563.0,118.781728318,30.936102728,118.776948418,30.9404856200001
4615,8364,4563,4579.0,4663.0,118.781728318,30.936102728,118.785463947,30.940945325
4615,4563,4579,4663.0,8364.0,118.781728318,30.936102728,118.773508757,30.933634639
4615,4579,4563,4663.0,8364.0,118.781728318,30.936102728,118.784692677,30.93368516
4616,4539,4630,4605.0,,118.734355454,30.937019531,118.732547421,30.932228223
4616,4605,4630,4539.0,,118.734355454,30.937019531,118.736906635,30.936118166
4616,4630,4539,4605.0,,118.734355454,30.937019531,118.730885966,30.9383085260001
4624,4608,4603,4650.0,4655.0,118.724601414,30.9380445960001,118.723423745,30.93659868
4624,4650,4603,4655.0,4608.0,118.724601414,30.9380445960001,118.726312862,30.940129712
4624,4655,4650,4603.0,4608.0,118.724601414,30.9380445960001,118.719954234,30.940641536
4624,4603,4608,4650.0,4655.0,118.724601414,30.9380445960001,118.729375318,30.936172577
4630,4603,4650,4616.0,4680.0,118.730885966,30.9383085260001,118.729375318,30.936172577
4630,4616,4603,4650.0,4680.0,118.730885966,30.9383085260001,118.734355454,30.937019531
4630,4650,4680,4603.0,4616.0,118.730885966,30.9383085260001,118.726312862,30.940129712
4630,4680,4603,4616.0,4650.0,118.730885966,30.9383085260001,118.733071939,30.9426763230001
4634,4642,4554,4664.0,4732.0,118.766881403,30.938042103,118.772031929,30.938383926
4634,4732,4664,4554.0,4642.0,118.766881403,30.938042103,118.768016088,30.943899801
4634,4554,4642,4732.0,4664.0,118.766881403,30.938042103,118.768301862,30.9326119150001
4634,4664,4732,4554.0,4642.0,118.766881403,30.938042103,118.761974005,30.9407915630001
4635,4651,4664,4536.0,,118.755828212,30.9383664700001,118.751313828,30.939949406
4635,4536,4651,4664.0,,118.755828212,30.9383664700001,118.757300215,30.931603098
4635,4664,4651,4536.0,,118.755828212,30.9383664700001,118.761974005,30.9407915630001
4642,4563,4634,4663.0,,118.772031929,30.938383926,118.773508757,30.933634639
4642,4663,4634,4563.0,,118.772031929,30.938383926,118.776948418,30.9404856200001
4642,4634,4663,4563.0,,118.772031929,30.938383926,118.766881403,30.938042103
4645,4802,4607,4666.0,,118.712270196,30.9398837000001,118.70831375,30.946824792
4645,4607,4666,4802.0,,118.712270196,30.9398837000001,118.715724096,30.9366187300001
4645,4666,4802,4607.0,,118.712270196,30.9398837000001,118.71440568,30.941672313
4650,4630,4624,4708.0,4690.0,118.726312862,30.940129712,118.730885966,30.9383085260001
4650,4708,4690,4630.0,4624.0,118.726312862,30.940129712,118.729228876,30.9439322490001
4650,4624,4690,4630.0,4708.0,118.726312862,30.940129712,118.724601414,30.9380445960001
4650,4690,4630,4624.0,4708.0,118.726312862,30.940129712,118.722518289,30.9430974840001
4651,4662,4562,4635.0,4697.0,118.751313828,30.939949406,118.749514443,30.9407233000001
4651,4697,4562,4635.0,4662.0,118.751313828,30.939949406,118.751139743,30.942927324
4651,4562,4635,4697.0,4662.0,118.751313828,30.939949406,118.744551331,30.9331701630001
4651,4635,4562,4697.0,4662.0,118.751313828,30.939949406,118.755828212,30.9383664700001
4655,4674,4624,4690.0,,118.719954234,30.940641537,118.718252493,30.9425282130001
4655,4624,4674,4690.0,,118.719954234,30.940641537,118.724601414,30.9380445960001
4655,4690,4624,4674.0,,118.719954234,30.940641537,118.722518289,30.9430974840001
4660,4671,4589,4689.0,,118.743669333,30.9405009490001,118.737292012,30.9418301260001
4660,4689,4589,4671.0,,118.743669333,30.9405009490001,118.745070627,30.9427514440001
4660,4589,4689,4671.0,,118.743669333,30.9405009490001,118.739577563,30.9351472700001
4662,4689,4694,4651.0,,118.749514443,30.9407233000001,118.745070627,30.9427514440001
4662,4694,4689,4651.0,,118.749514443,30.9407233000001,118.748259798,30.9428108720001
4662,4651,4694,4689.0,,118.749514443,30.9407233000001,118.751313828,30.939949406
4663,4745,4642,4615.0,,118.776948418,30.9404856200001,118.773995411,30.944222605
4663,4615,4745,4642.0,,118.776948418,30.9404856200001,118.781728318,30.936102728
4663,4642,4615,4745.0,,118.776948418,30.9404856200001,118.772031929,30.938383926
4664,4634,4724,4635.0,,118.761974005,30.9407915630001,118.766881403,30.938042103
4664,4635,4724,4634.0,,118.761974005,30.9407915630001,118.755828212,30.9383664700001
4664,4724,4634,4635.0,,118.761974005,30.9407915630001,118.762594379,30.943569451
4666,4645,4713,,,118.71440568,30.941672313,118.712270196,30.9398837000001
4666,4713,4645,,,118.71440568,30.941672313,118.716935851,30.943971881
4671,4605,4819,4660.0,4680.0,118.737292012,30.9418301260001,118.736906635,30.936118166
4671,4680,4819,4605.0,4660.0,118.737292012,30.9418301260001,118.733071939,30.9426763230001
4671,4660,4819,4605.0,4680.0,118.737292012,30.9418301260001,118.743669333,30.9405009490001
4671,4819,4660,4680.0,4605.0,118.737292012,30.9418301260001,118.737720491,30.9468659400001
4674,4713,4655,4742.0,,118.718246538,30.942534574,118.716935851,30.943971881
4674,4655,4713,4742.0,,118.718246538,30.942534574,118.719954234,30.940641536
4674,4742,4655,4713.0,,118.718246538,30.942534574,118.721537826,30.9448980450001
4680,4630,4671,4708.0,4855.0,118.733071939,30.9426763230001,118.730885966,30.9383085260001
4680,4708,4671,4855.0,4630.0,118.733071939,30.9426763230001,118.729228876,30.9439322490001
4680,4671,4708,4855.0,4630.0,118.733071939,30.9426763230001,118.737292012,30.9418301260001
4680,4855,4671,4630.0,4708.0,118.733071939,30.9426763230001,118.735008726,30.9488618130001
4689,4694,4662,4660.0,4819.0,118.745070627,30.9427514440001,118.748259798,30.9428108720001
4689,4819,4660,4694.0,4662.0,118.745070627,30.9427514440001,118.737720491,30.9468659400001
4689,4660,4662,4694.0,4819.0,118.745070627,30.9427514440001,118.743669333,30.9405009490001
4689,4662,4694,4660.0,4819.0,118.745070627,30.9427514440001,118.749514443,30.9407233000001
4690,4650,4742,4655.0,,118.722518289,30.9430974840001,118.726312862,30.940129712
4690,4655,4742,4650.0,,118.722518289,30.9430974840001,118.719954234,30.940641536
4690,4742,4650,4655.0,,118.722518289,30.9430974840001,118.721537826,30.9448980450001
4694,4697,4662,4808.0,4689.0,118.748259798,30.9428108720001,118.751139743,30.942927324
4694,4808,4662,4689.0,4697.0,118.748259798,30.9428108720001,118.747392293,30.9464083500001
4694,4662,4697,4689.0,4808.0,118.748259798,30.9428108720001,118.749514443,30.9407233000001
4694,4689,4662,4697.0,4808.0,118.748259798,30.9428108720001,118.745070627,30.9427514440001
4697,4706,4694,4651.0,4806.0,118.751139743,30.942927324,118.755423267,30.9431676560001
4697,4806,4694,4706.0,4651.0,118.751139743,30.942927324,118.751063137,30.9463499120001
4697,4651,4706,4806.0,4694.0,118.751139743,30.942927324,118.751313828,30.939949406
4697,4694,4806,4706.0,4651.0,118.751139743,30.942927324,118.748259798,30.9428108720001
4706,4724,4697,4835.0,,118.755423267,30.9431676560001,118.762594379,30.943569451
4706,4835,4697,4724.0,,118.755423267,30.9431676560001,118.755368381,30.94769187
4706,4697,4724,4835.0,,118.755423267,30.9431676560001,118.751139743,30.942927324
4708,9173,4650,4680.0,,118.729228876,30.9439322490001,118.725274108,30.947814592
4708,4650,9173,4680.0,,118.729228876,30.9439322490001,118.726312862,30.940129712
4708,4680,9173,4650.0,,118.729228876,30.9439322490001,118.733071939,30.9426763230001
4713,4666,4674,4794.0,,118.716935851,30.943971881,118.71440568,30.941672313
4713,4674,4794,4666.0,,118.716935851,30.943971881,118.718252493,30.9425282130001
4713,4794,4666,4674.0,,118.716935851,30.943971881,118.720732459,30.9464968670001
4724,4664,4863,4706.0,4732.0,118.762594379,30.943569451,118.761974005,30.9407915630001
4724,4732,4664,4863.0,4706.0,118.762594379,30.943569451,118.768016088,30.943899801
4724,4863,4706,4732.0,4664.0,118.762594379,30.943569451,118.763340547,30.948762093
4724,4706,4664,4732.0,4863.0,118.762594379,30.943569451,118.755423267,30.9431676560001
4732,4745,4634,4881.0,4724.0,118.768016088,30.943899801,118.773995411,30.944222605
4732,4881,4745,4724.0,4634.0,118.768016088,30.943899801,118.767798749,30.948992624
4732,4634,4724,4881.0,4745.0,118.768016088,30.943899801,118.766881403,30.938042103
4732,4724,4881,4634.0,4745.0,118.768016088,30.943899801,118.762594379,30.943569451
4742,4674,4690,4794.0,,118.721537826,30.9448980450001,118.718252493,30.9425282130001
4742,4690,4794,4674.0,,118.721537826,30.9448980450001,118.722518289,30.9430974840001
4742,4794,4690,4674.0,,118.721537826,30.9448980450001,118.720732459,30.9464968670001
4745,4758,4732,4663.0,,118.773995411,30.944222605,118.780151072,30.944602473
4745,4663,4758,4732.0,,118.773995411,30.944222605,118.776948418,30.9404856200001
4745,4732,4758,4663.0,,118.773995411,30.944222605,118.768016088,30.943899801
4758,4779,4832,8363.0,4745.0,118.780151072,30.944602473,118.78561444,30.9449172930001
4758,8363,4745,4779.0,4832.0,118.780151072,30.944602473,118.779591893,30.9422432430001
4758,4745,8363,4779.0,4832.0,118.780151072,30.944602473,118.773995411,30.944222605
4758,4832,8363,4745.0,4779.0,118.780151072,30.944602473,118.779618277,30.9471851870001
4779,4758,4852,8364.0,,118.78561444,30.9449172930001,118.780151072,30.944602473
4779,4852,4758,8364.0,,118.78561444,30.9449172930001,118.785270957,30.94797349
4779,8364,4852,4758.0,,118.78561444,30.9449172930001,118.785463947,30.940945325
4794,4713,4899,4742.0,9173.0,118.720732459,30.9464968670001,118.716935851,30.943971881
4794,4742,9173,4899.0,4713.0,118.720732459,30.9464968670001,118.721537826,30.9448980450001
4794,4899,4742,4713.0,9173.0,118.720732459,30.9464968670001,118.718842415,30.9503003290001
4794,9173,4899,4742.0,4713.0,118.720732459,30.9464968670001,118.725274108,30.947814592
4802,4895,4645,,,118.70831375,30.946824792,118.706734957,30.9503183310001
4802,4645,4895,,,118.70831375,30.946824792,118.712270196,30.9398837000001
4806,4835,4697,4927.0,4808.0,118.751063137,30.9463499120001,118.755368381,30.94769187
4806,4927,4697,4808.0,4835.0,118.751063137,30.9463499120001,118.750860788,30.951414963
4806,4697,4835,4808.0,4927.0,118.751063137,30.9463499120001,118.751139743,30.942927324
4806,4808,4697,4927.0,4835.0,118.751063137,30.9463499120001,118.747392293,30.9464083500001
4808,4806,4893,4694.0,,118.747392293,30.9464083500001,118.751063137,30.9463499120001
4808,4893,4694,4806.0,,118.747392293,30.9464083500001,118.745969182,30.949775652
4808,4694,4893,4806.0,,118.747392293,30.9464083500001,118.748259798,30.9428108720001
4819,4671,4855,4689.0,4879.0,118.737720491,30.9468659400001,118.737292012,30.9418301260001
4819,4855,4689,4879.0,4671.0,118.737720491,30.9468659400001,118.735008726,30.9488618130001
4819,4689,4671,4879.0,4855.0,118.737720491,30.9468659400001,118.745070627,30.9427514440001
4819,4879,4855,4671.0,4689.0,118.737720491,30.9468659400001,118.73797604,30.949325426
4832,4758,8365,4852.0,4918.0,118.779618277,30.9471851870001,118.780151072,30.944602473
4832,4852,4758,4918.0,8365.0,118.779618277,30.9471851870001,118.785270957,30.94797349
